instance,tag,solver,makespan,norm_makespan,soc,norm_soc,total_moves,norm_total_moves,exec_time,satisfied
X15Y15R3.4,0,MICBS-SOC,21,1.0,36,1.0,36,1.0,0.6582930000000005,True
X15Y15R3.4,0,CBS-MS,21,1.0,36,1.0,36,1.0,0.6137236000000001,True
X15Y15R3.4,0,GICBS-MS,21,1.0,36,1.0,36,1.0,0.5822422000000032,True
X15Y15R3.4,0,ICBS-MS,21,1.0,36,1.0,36,1.0,0.5725873999999962,True
X15Y15R3.4,0,MCBS-MS,21,1.0,36,1.0,36,1.0,0.5651567999999969,True
X15Y15R3.4,0,MICBS-MS,21,1.0,36,1.0,36,1.0,0.5520882,True
X15Y15R4.1,0,IS,23,1.0,49,1.0,98,2.0,0.5181368000000006,True
X15Y15R4.1,0,PP,23,1.0,49,1.0,49,1.0,0.5993090999999993,True
X15Y15R4.1,0,CBS-SOC,23,1.0,49,1.0,49,1.0,0.5649536000000026,True
X15Y15R4.1,0,GICBS-SOC,23,1.0,49,1.0,49,1.0,0.5816584999999961,True
X15Y15R4.1,0,ICBS-SOC,23,1.0,49,1.0,49,1.0,0.5576876999999953,True
X15Y15R4.1,0,MCBS-SOC,23,1.0,49,1.0,49,1.0,0.5565736000000001,True
X15Y15R4.1,0,MICBS-SOC,23,1.0,49,1.0,49,1.0,0.5561051000000035,True
X15Y15R4.1,0,CBS-MS,23,1.0,49,1.0,49,1.0,0.5920672000000025,True
X15Y15R4.1,0,GICBS-MS,23,1.0,49,1.0,49,1.0,0.5816803000000021,True
X15Y15R4.1,0,ICBS-MS,23,1.0,49,1.0,49,1.0,0.5752829000000048,True
X15Y15R4.1,0,MCBS-MS,23,1.0,49,1.0,49,1.0,0.5642635999999968,True
X15Y15R4.1,0,MICBS-MS,23,1.0,49,1.0,49,1.0,0.5911475999999993,True
X15Y15R4.2,0,IS,10,1.0,23,1.0,46,2.0,0.10877170000000547,True
X15Y15R4.2,0,PP,10,1.0,23,1.0,23,1.0,0.11173039999999901,True
X15Y15R4.2,0,CBS-SOC,10,1.0,23,1.0,23,1.0,0.140939699999997,True
X15Y15R4.2,0,GICBS-SOC,10,1.0,23,1.0,23,1.0,0.12683990000000023,True
X15Y15R4.2,0,ICBS-SOC,10,1.0,23,1.0,23,1.0,0.11680810000000008,True
X15Y15R4.2,0,MCBS-SOC,10,1.0,23,1.0,23,1.0,0.11587920000000196,True
X15Y15R4.2,0,MICBS-SOC,10,1.0,23,1.0,23,1.0,0.10700329999999525,True
X15Y15R4.2,0,CBS-MS,10,1.0,23,1.0,23,1.0,0.11784100000000564,True
X15Y15R4.2,0,GICBS-MS,10,1.0,23,1.0,23,1.0,0.11561770000000138,True
X15Y15R4.2,0,ICBS-MS,10,1.0,23,1.0,23,1.0,0.11598029999999682,True
X15Y15R4.2,0,MCBS-MS,10,1.0,23,1.0,23,1.0,0.12435299999999927,True
X15Y15R4.2,0,MICBS-MS,10,1.0,23,1.0,23,1.0,0.1077635999999984,True
X15Y15R4.3,0,IS,15,1.0,34,1.0,68,2.0,0.24857329999999678,True
X15Y15R4.3,0,PP,15,1.0,34,1.0,34,1.0,0.2524737999999971,True
X15Y15R4.3,0,CBS-SOC,15,1.0,34,1.0,34,1.0,0.25838420000000184,True
X15Y15R4.3,0,GICBS-SOC,15,1.0,34,1.0,34,1.0,0.2785696999999985,True
X15Y15R4.3,0,ICBS-SOC,15,1.0,34,1.0,34,1.0,0.26684990000000397,True
X15Y15R4.3,0,MCBS-SOC,15,1.0,34,1.0,34,1.0,0.3193847999999946,True
X15Y15R4.3,0,MICBS-SOC,15,1.0,34,1.0,34,1.0,0.30445929999999777,True
X15Y15R4.3,0,CBS-MS,15,1.0,34,1.0,34,1.0,0.3023883999999981,True
X15Y15R4.3,0,GICBS-MS,15,1.0,34,1.0,34,1.0,0.33014730000000014,True
X15Y15R4.3,0,ICBS-MS,15,1.0,34,1.0,34,1.0,0.32495600000000024,True
X15Y15R4.3,0,MCBS-MS,15,1.0,34,1.0,34,1.0,0.3344286999999966,True
X15Y15R4.3,0,MICBS-MS,15,1.0,34,1.0,34,1.0,0.3243772000000007,True
X15Y15R4.4,0,IS,16,1.0,39,1.0,78,2.0,0.3499200999999985,True
X15Y15R4.4,0,PP,16,1.0,43,1.1025641025641026,39,1.0,0.3385016999999948,True
X15Y15R4.4,0,CBS-SOC,16,1.0,39,1.0,39,1.0,0.5140827999999971,True
X15Y15R4.4,0,GICBS-SOC,16,1.0,39,1.0,39,1.0,0.5610448999999988,True
X15Y15R4.4,0,ICBS-SOC,16,1.0,39,1.0,39,1.0,0.5741421999999972,True
X15Y15R4.4,0,MCBS-SOC,16,1.0,39,1.0,39,1.0,0.4977441000000056,True
X15Y15R4.4,0,MICBS-SOC,16,1.0,39,1.0,39,1.0,0.4571404000000001,True
X15Y15R4.4,0,CBS-MS,16,1.0,39,1.0,39,1.0,0.467770900000005,True
X15Y15R4.4,0,GICBS-MS,16,1.0,39,1.0,39,1.0,0.48486179999999734,True
X15Y15R4.4,0,ICBS-MS,16,1.0,39,1.0,39,1.0,0.47448909999999955,True
X15Y15R4.4,0,MCBS-MS,16,1.0,39,1.0,39,1.0,0.47591800000000006,True
X15Y15R4.4,0,MICBS-MS,16,1.0,39,1.0,39,1.0,0.45812649999999877,True
X15Y15R5.1,0,IS,13,1.0,44,1.0232558139534884,43,1.0,0.24090359999999578,True
X15Y15R5.1,0,PP,14,1.0769230769230769,44,1.0232558139534884,43,1.0,0.2595174,True
X15Y15R5.1,0,CBS-SOC,13,1.0,44,1.0232558139534884,43,1.0,0.42325919999999684,True
X15Y15R5.1,0,GICBS-SOC,13,1.0,44,1.0232558139534884,43,1.0,0.4448152999999948,True
X15Y15R5.1,0,ICBS-SOC,13,1.0,44,1.0232558139534884,43,1.0,0.44954119999999875,True
X15Y15R5.1,0,MCBS-SOC,13,1.0,44,1.0232558139534884,43,1.0,0.4749268999999998,True
X15Y15R5.1,0,MICBS-SOC,13,1.0,44,1.0232558139534884,43,1.0,0.4346520999999939,True
X15Y15R5.1,0,CBS-MS,13,1.0,44,1.0232558139534884,43,1.0,0.44230830000000765,True
X15Y15R5.1,0,GICBS-MS,13,1.0,44,1.0232558139534884,43,1.0,0.45443550000000243,True
X15Y15R5.1,0,ICBS-MS,13,1.0,44,1.0232558139534884,43,1.0,0.4195432000000068,True
X15Y15R5.1,0,MCBS-MS,13,1.0,44,1.0232558139534884,43,1.0,0.42320089999999766,True
X15Y15R5.1,0,MICBS-MS,13,1.0,44,1.0232558139534884,43,1.0,0.4545089999999874,True
X15Y15R5.2,0,IS,9,1.0,32,1.0,64,2.0,0.12508680000000538,True
X15Y15R5.2,0,PP,9,1.0,32,1.0,32,1.0,0.13073550000000012,True
X15Y15R5.2,0,CBS-SOC,9,1.0,32,1.0,32,1.0,0.15464019999998868,True
X15Y15R5.2,0,GICBS-SOC,9,1.0,32,1.0,32,1.0,0.136460900000003,True
X15Y15R5.2,0,ICBS-SOC,9,1.0,32,1.0,32,1.0,0.14839489999999955,True
X15Y15R5.2,0,MCBS-SOC,9,1.0,32,1.0,32,1.0,0.1523569000000009,True
X15Y15R5.2,0,MICBS-SOC,9,1.0,32,1.0,32,1.0,0.15130729999999915,True
X15Y15R5.2,0,CBS-MS,9,1.0,32,1.0,32,1.0,0.14025970000000143,True
X15Y15R5.2,0,GICBS-MS,9,1.0,32,1.0,32,1.0,0.14291709999999114,True
X15Y15R5.2,0,ICBS-MS,9,1.0,32,1.0,32,1.0,0.16456970000000126,True
X15Y15R5.2,0,MCBS-MS,9,1.0,32,1.0,32,1.0,0.1476365000000044,True
X15Y15R5.2,0,MICBS-MS,9,1.0,32,1.0,32,1.0,0.13656920000001094,True
X15Y15R5.3,0,IS,15,1.0,47,1.0,94,2.0,0.2894457000000017,True
X15Y15R5.3,0,PP,15,1.0,51,1.0851063829787233,47,1.0,0.3333690000000047,True
X15Y15R5.3,0,CBS-SOC,15,1.0,47,1.0,47,1.0,0.5639794999999879,True
X15Y15R5.3,0,GICBS-SOC,15,1.0,47,1.0,47,1.0,0.516410399999998,True
X15Y15R5.3,0,ICBS-SOC,15,1.0,47,1.0,47,1.0,0.4736316000000045,True
X15Y15R5.3,0,MCBS-SOC,15,1.0,47,1.0,47,1.0,0.4816624000000047,True
X15Y15R5.3,0,MICBS-SOC,15,1.0,47,1.0,47,1.0,0.5414527000000078,True
X15Y15R5.3,0,CBS-MS,15,1.0,47,1.0,47,1.0,0.4979299000000026,True
X15Y15R5.3,0,GICBS-MS,15,1.0,47,1.0,47,1.0,0.4815432000000044,True
X15Y15R5.3,0,ICBS-MS,15,1.0,47,1.0,47,1.0,0.4791798999999912,True
X15Y15R5.3,0,MCBS-MS,15,1.0,47,1.0,47,1.0,0.46867030000001364,True
X15Y15R5.3,0,MICBS-MS,15,1.0,47,1.0,47,1.0,0.504661200000001,True
X15Y15R5.4,0,IS,14,1.0,59,1.0,118,2.0,0.3960845999999947,True
X15Y15R5.4,0,PP,14,1.0,59,1.0,59,1.0,0.4519790999999884,True
X15Y15R5.4,0,CBS-SOC,14,1.0,59,1.0,59,1.0,0.5048575,True
X15Y15R5.4,0,GICBS-SOC,14,1.0,59,1.0,59,1.0,0.4969169999999963,True
X15Y15R5.4,0,ICBS-SOC,14,1.0,59,1.0,59,1.0,0.46015890000001036,True
X15Y15R5.4,0,MCBS-SOC,14,1.0,59,1.0,59,1.0,0.4711586999999895,True
X15Y15R5.4,0,MICBS-SOC,14,1.0,59,1.0,59,1.0,0.4671035999999873,True
X15Y15R5.4,0,CBS-MS,14,1.0,59,1.0,59,1.0,0.48808429999999703,True
X15Y15R5.4,0,GICBS-MS,14,1.0,59,1.0,59,1.0,0.4886334999999917,True
X15Y15R5.4,0,ICBS-MS,14,1.0,59,1.0,59,1.0,0.4712332999999944,True
X15Y15R5.4,0,MCBS-MS,14,1.0,59,1.0,59,1.0,0.5459563000000003,True
X15Y15R5.4,0,MICBS-MS,14,1.0,59,1.0,59,1.0,0.5126158000000061,True
X15Y15R6.1,0,IS,21,1.0,46,1.0,92,2.0,0.44342000000000326,True
X15Y15R6.1,0,PP,21,1.0,46,1.0,46,1.0,0.40908169999998734,True
X15Y15R6.1,0,CBS-SOC,21,1.0,46,1.0,46,1.0,0.5999952999999891,True
X15Y15R6.1,0,GICBS-SOC,21,1.0,46,1.0,46,1.0,0.5853328999999974,True
X15Y15R6.1,0,ICBS-SOC,21,1.0,46,1.0,46,1.0,0.7774459999999976,True
X15Y15R6.1,0,MCBS-SOC,21,1.0,46,1.0,46,1.0,0.6570918999999975,True
X15Y15R6.1,0,MICBS-SOC,21,1.0,46,1.0,46,1.0,0.9469560000000001,True
X15Y15R6.1,0,CBS-MS,21,1.0,46,1.0,46,1.0,0.7496134000000012,True
X15Y15R6.1,0,GICBS-MS,21,1.0,46,1.0,46,1.0,0.6959637000000072,True
X15Y15R6.1,0,ICBS-MS,21,1.0,46,1.0,46,1.0,0.6662268999999981,True
X15Y15R6.1,0,MCBS-MS,21,1.0,46,1.0,46,1.0,0.5353755000000007,True
X15Y15R6.1,0,MICBS-MS,21,1.0,46,1.0,46,1.0,0.4992033000000049,True
X15Y15R6.2,0,IS,20,1.0,76,1.0410958904109588,75,1.0273972602739727,0.7754658000000063,True
X15Y15R6.2,0,PP,20,1.0,75,1.0273972602739727,75,1.0273972602739727,0.9689570000000032,True
X15Y15R6.2,0,CBS-SOC,20,1.0,75,1.0273972602739727,75,1.0273972602739727,1.1323931000000016,True
X15Y15R6.2,0,GICBS-SOC,20,1.0,75,1.0273972602739727,75,1.0273972602739727,1.1823487000000057,True
X15Y15R6.2,0,ICBS-SOC,20,1.0,75,1.0273972602739727,75,1.0273972602739727,1.3575851000000085,True
X15Y15R6.2,0,MCBS-SOC,20,1.0,75,1.0273972602739727,75,1.0273972602739727,1.0407557000000054,True
X15Y15R6.2,0,MICBS-SOC,20,1.0,75,1.0273972602739727,75,1.0273972602739727,1.0120720000000034,True
X15Y15R6.2,0,CBS-MS,20,1.0,75,1.0273972602739727,75,1.0273972602739727,1.0233500999999876,True
X15Y15R6.2,0,GICBS-MS,20,1.0,75,1.0273972602739727,75,1.0273972602739727,1.1591602999999964,True
X15Y15R6.2,0,ICBS-MS,20,1.0,75,1.0273972602739727,75,1.0273972602739727,1.1205558000000053,True
X15Y15R6.2,0,MCBS-MS,20,1.0,75,1.0273972602739727,75,1.0273972602739727,1.004693500000002,True
